text,Food,Phenotype,label
"""Traditionally used to enhance the renal elimination of water"" / ""Traditionally used to facilitate the elimination functions of the organism"" / ""Used to enhance the renal elimination of water"" / ""Used to facilitate the elimination functions of the organism"" / ""Used for the drainage of the organism"" / ""Diuretic effect"" / ""Stimulates the elimination function of the organism"" / ""Contributes to the functionary of the urinary tract""",Prunus cerasus - common name : Sour cherry,Increase in renal water elimination,1
"""Used to enhance the renal elimination of water"" / ""Used to facilitate the elimination functions of the organism"" / ""Used for the drainage of the organism"" / ""Stimulates the elimination function of the organism"" / ""Contributes to the functionary of the urinary tract""",Apium graveolens - common name :  celery,Increase in renal water elimination,1
"""Used to enhance the renal elimination of water"" / ""Used to facilitate the elimination functions of the organism"" / ""Used for the drainage of the organism"" / ""Stimulates the elimination function of the organism"" / ""Contributes to the functionary of the urinary tract""","Cynara scolymus - common name :  artichoke, globe artichoke",Increase in renal water elimination,1
"""Used to facilitate the digestion""
""Helps to support normal liver function""
""Contributes to the stimulation of the production of the digestive body fluids""
""Supports the liver and biliary function""
""Contributes to the digestive comfort""
""Helps to facilitate fat digestion""
""Contributes to better fat digestion""
""Helps to support the digestion""
""Contributes to support the digestion"".","Raphanus sativus  - common name : radish, black radish, Japanese radish, Daikon",“Digestive function”,0
"* Maintains/restores the balance of intestinal flora
* Promotes intestinal comfort
* Strengthens resistance of organism
* Improves digestive health",Bifidobacterium animalis ssp. lactisTHT 010801,"Changes in bowel function, and digestion and absorption of nutrients",1
"* Maintains/restores the balance of intestinal flora
* Promotes intestinal comfort
* Strengthens resistance of organism
* Improves digestive health",Bifidobacterium animalis ssp. lactisTHT 010801,Decreasing potentially pathogenic gastro-intestinal microorganisms,1
"* Maintains/restores the balance of intestinal flora
* Promotes intestinal comfort
* Strengthens resistance of organism
* Improves digestive health",<em>Bifidobacterium longum</em> THT 010301,"Changes in bowel function, and digestion and absorption of nutrients",1
"* Maintains/restores the balance of intestinal flora
* Promotes intestinal comfort
* Strengthens resistance of organism
* Improves digestive health",<em>Bifidobacterium longum</em> THT 010301,Decreasing potentially pathogenic gastro-intestinal microorganisms,1
"* Maintains/restores the balance of intestinal flora
* Promotes intestinal comfort
* Strengthens resistance of organism
* Improves digestive health",<em>Bifidobacterium longum</em> bv infantis THT 010201,"Changes in bowel function, and digestion and absorption of nutrients",1
"* Maintains/restores the balance of intestinal flora
* Promotes intestinal comfort
* Strengthens resistance of organism
* Improves digestive health",<em>Bifidobacterium longum</em> bv infantis THT 010201,Decreasing potentially pathogenic gastro-intestinal microorganisms,1
"* Maintains/restores the balance of intestinal flora
* Promotes intestinal comfort
* Strengthens resistance of organism
* Improves digestive health",Bifidobacterium pseudolongum ssp pseudolongum THT 010501,"Changes in bowel function, and digestion and absorption of nutrients",1
"* Maintains/restores the balance of intestinal flora
* Promotes intestinal comfort
* Strengthens resistance of organism
* Improves digestive health",Bifidobacterium pseudolongum ssp pseudolongum THT 010501,Decreasing potentially pathogenic gastro-intestinal microorganisms,1
"* Maintains/restores the balance of intestinal flora
* Promotes intestinal comfort
* Strengthens resistance of organism
* Improves digestive health",<em>Lactobacillus casei</em> THT 030401,"Changes in bowel function, and digestion and absorption of nutrients",1
"* Maintains/restores the balance of intestinal flora
* Promotes intestinal comfort
* Strengthens resistance of organism
* Improves digestive health",<em>Lactobacillus casei</em> THT 030401,Decreasing potentially pathogenic gastro-intestinal microorganisms,1
"* Maintains/restores the balance of intestinal flora
* Promotes intestinal comfort
* Strengthens resistance of organism
* Improves digestive health",Lactobacillus gasseri THT 031301,"Changes in bowel function, and digestion and absorption of nutrients",1
"* Maintains/restores the balance of intestinal flora
* Promotes intestinal comfort
* Strengthens resistance of organism
* Improves digestive health",Lactobacillus gasseri THT 031301,Decreasing potentially pathogenic gastro-intestinal microorganisms,1
"* Maintains/restores the balance of intestinal flora
* Promotes intestinal comfort
* Strengthens resistance of organism
* Improves digestive health",<em>Lactobacillus helveticus</em> THT 031102,"Changes in bowel function, and digestion and absorption of nutrients",1
"* Maintains/restores the balance of intestinal flora
* Promotes intestinal comfort
* Strengthens resistance of organism
* Improves digestive health",<em>Lactobacillus helveticus</em> THT 031102,Decreasing potentially pathogenic gastro-intestinal microorganisms,1
"* Maintains/restores the balance of intestinal flora
* Promotes intestinal comfort
* Strengthens resistance of organism
* Improves digestive health",<em>Lactobacillus plantarum</em> THT 030701,"Changes in bowel function, and digestion and absorption of nutrients",1
"* Maintains/restores the balance of intestinal flora
* Promotes intestinal comfort
* Strengthens resistance of organism
* Improves digestive health",<em>Lactobacillus plantarum</em> THT 030701,Decreasing potentially pathogenic gastro-intestinal microorganisms,1
"* Maintains/restores the balance of intestinal flora
* Promotes intestinal comfort
* Strengthens resistance of organism
* Improves digestive health",<em>Lactobacillus plantarum</em> THT 030707,"Changes in bowel function, and digestion and absorption of nutrients",1
"* Maintains/restores the balance of intestinal flora
* Promotes intestinal comfort
* Strengthens resistance of organism
* Improves digestive health",<em>Lactobacillus plantarum</em> THT 030707,Decreasing potentially pathogenic gastro-intestinal microorganisms,1
"* Maintains/restores the balance of intestinal flora
* Promotes intestinal comfort
* Strengthens resistance of organism
* Improves digestive health",Lactobacillus reuteri THT 030802,"Changes in bowel function, and digestion and absorption of nutrients",1
